	sampleA	sampleB
GO:0000003	1.0	1.0
GO:0000014	1.0	0.0
GO:0000015	4.0	0.0
GO:0000018	2.0	0.0
GO:0000027	7.0	0.0
GO:0000028	2.0	0.0
GO:0000030	1.0	0.0
GO:0000041	1.0	2.0
GO:0000049	10.0	1.0
GO:0000050	5.0	0.0
GO:0000052	1.0	0.0
GO:0000075	3.0	0.0
GO:0000077	1.0	0.0
GO:0000079	2.0	0.0
GO:0000082	3.0	0.0
GO:0000086	3.0	2.0
GO:0000096	3.0	1.0
GO:0000097	2.0	1.0
GO:0000098	2.0	0.0
GO:0000104	2.0	0.0
GO:0000122	10.0	2.0
GO:0000123	3.0	0.0
GO:0000126	0.0	1.0
GO:0000132	1.0	0.0
GO:0000139	8.0	7.0
GO:0000146	1.0	1.0
GO:0000149	2.0	1.0
GO:0000151	9.0	3.0
GO:0000152	2.0	0.0
GO:0000153	1.0	0.0
GO:0000154	1.0	0.0
GO:0000155	2.0	3.0
GO:0000159	1.0	0.0
GO:0000160	2.0	3.0
GO:0000165	1.0	0.0
GO:0000166	217.0	33.0
GO:0000175	1.0	0.0
GO:0000179	1.0	0.0
GO:0000184	2.0	0.0
GO:0000187	1.0	0.0
GO:0000188	2.0	1.0
GO:0000209	7.0	3.0
GO:0000212	0.0	2.0
GO:0000220	0.0	2.0
GO:0000221	1.0	0.0
GO:0000226	6.0	3.0
GO:0000228	8.0	0.0
GO:0000242	1.0	0.0
GO:0000243	2.0	0.0
GO:0000245	1.0	0.0
GO:0000253	2.0	0.0
GO:0000266	2.0	0.0
GO:0000270	8.0	0.0
GO:0000271	6.0	0.0
GO:0000272	5.0	0.0
GO:0000275	1.0	0.0
GO:0000278	9.0	0.0
GO:0000280	5.0	1.0
GO:0000281	5.0	1.0
GO:0000287	14.0	1.0
GO:0000289	1.0	0.0
GO:0000293	0.0	1.0
GO:0000294	1.0	0.0
GO:0000295	1.0	0.0
GO:0000302	4.0	1.0
GO:0000314	1.0	1.0
GO:0000315	3.0	0.0
GO:0000323	11.0	2.0
GO:0000346	1.0	0.0
GO:0000375	9.0	2.0
GO:0000377	9.0	2.0
GO:0000380	1.0	1.0
GO:0000381	7.0	3.0
GO:0000394	1.0	0.0
GO:0000395	2.0	0.0
GO:0000398	9.0	2.0
GO:0000422	1.0	0.0
GO:0000428	1.0	0.0
GO:0000447	2.0	0.0
GO:0000459	1.0	0.0
GO:0000461	2.0	0.0
GO:0000462	1.0	0.0
GO:0000467	1.0	0.0
GO:0000469	3.0	0.0
GO:0000478	2.0	0.0
GO:0000479	2.0	0.0
GO:0000491	1.0	0.0
GO:0000492	1.0	0.0
GO:0000494	1.0	0.0
GO:0000502	2.0	0.0
GO:0000506	1.0	0.0
GO:0000702	1.0	0.0
GO:0000723	2.0	0.0
GO:0000724	1.0	0.0
GO:0000725	1.0	0.0
GO:0000726	5.0	0.0
GO:0000729	2.0	0.0
GO:0000737	1.0	1.0
GO:0000738	4.0	0.0
GO:0000741	0.0	1.0
GO:0000768	13.0	0.0
GO:0000774	1.0	0.0
GO:0000775	2.0	0.0
GO:0000776	1.0	0.0
GO:0000779	1.0	0.0
GO:0000781	2.0	0.0
GO:0000784	2.0	0.0
GO:0000785	10.0	0.0
GO:0000786	3.0	2.0
GO:0000790	6.0	0.0
GO:0000791	1.0	0.0
GO:0000792	2.0	0.0
GO:0000793	8.0	0.0
GO:0000794	8.0	0.0
GO:0000796	1.0	0.0
GO:0000799	1.0	0.0
GO:0000808	1.0	0.0
GO:0000812	1.0	0.0
GO:0000815	0.0	1.0
GO:0000820	1.0	0.0
GO:0000821	1.0	0.0
GO:0000902	8.0	3.0
GO:0000904	4.0	2.0
GO:0000906	2.0	0.0
GO:0000910	6.0	2.0
GO:0000916	0.0	1.0
GO:0000922	2.0	1.0
GO:0000930	0.0	1.0
GO:0000932	6.0	0.0
GO:0000956	3.0	1.0
GO:0000959	2.0	0.0
GO:0000963	1.0	0.0
GO:0000965	1.0	0.0
GO:0000972	1.0	0.0
GO:0000973	1.0	0.0
GO:0000974	1.0	0.0
GO:0000975	12.0	1.0
GO:0000976	10.0	0.0
GO:0000977	6.0	0.0
GO:0000980	4.0	0.0
GO:0000981	11.0	3.0
GO:0000982	2.0	0.0
GO:0000984	2.0	0.0
GO:0000986	2.0	0.0
GO:0000987	2.0	0.0
GO:0000988	8.0	2.0
GO:0000989	6.0	2.0
GO:0000990	2.0	1.0
GO:0000993	1.0	0.0
GO:0000995	0.0	1.0
GO:0000996	2.0	0.0
GO:0001000	2.0	0.0
GO:0001007	0.0	1.0
GO:0001012	6.0	0.0
GO:0001017	2.0	0.0
GO:0001026	0.0	1.0
GO:0001046	2.0	0.0
GO:0001047	3.0	0.0
GO:0001067	12.0	1.0
GO:0001071	28.0	4.0
GO:0001076	1.0	0.0
GO:0001078	2.0	0.0
GO:0001085	4.0	0.0
GO:0001098	1.0	0.0
GO:0001099	1.0	0.0
GO:0001101	7.0	0.0
GO:0001102	2.0	0.0
GO:0001103	2.0	0.0
GO:0001130	2.0	0.0
GO:0001131	2.0	0.0
