	gall_1	non_1	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN34830_c0_g1	1	5	gall	non	-1.59977809919011	0.327645012653475	0.43064182194616996	0.530555930583221
TRINITY_DN62324_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN32532_c0_g1	8	0	gall	non	6.366878250584789	0.6668620052487549	0.0140786749482402	0.0656007660212769
TRINITY_DN40808_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN63670_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN10869_c0_g1	4	3	gall	non	1.00903383728481	0.49749732468050106	0.5217391304347829	0.621804315233688
TRINITY_DN44874_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN953_c0_g1	8	1	gall	non	3.44388156741728	0.776474304670133	0.0399704909450037	0.118957478526608
TRINITY_DN53512_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN1238_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN24246_c0_g2	27	30	gall	non	0.476228157708836	2.98255512271232	0.592573264354885	0.690691058896344
TRINITY_DN16720_c0_g2	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN43094_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN20103_c0_g1	4	7	gall	non	-0.173076396359795	0.925892736802875	1.0	1.0
TRINITY_DN62164_c0_g1	7	6	gall	non	0.83669336515322	1.13109762777999	0.542974480501684	0.644768254715318
TRINITY_DN24335_c0_g1	4	90	gall	non	-3.8290397653733397	3.4813478915714597	5.7941770503573704e-05	0.0009656050716468199
TRINITY_DN24791_c0_g3	39	0	gall	non	8.63831839012171	2.62973318801962	7.449998504695359e-07	2.5014530354149803e-05
TRINITY_DN25425_c1_g2	14	48	gall	non	-1.14180594629285	3.00445572004367	0.171981170076906	0.258667294117373
TRINITY_DN21844_c0_g2	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN33593_c0_g1	0	11	gall	non	-6.19822266274449	0.8805928161360429	0.0140786749482402	0.0656007660212769
