	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN10000_c0_g1	SMP_1	SMP_2	-0.071408012	6.005120257	0.915788107	1
TRINITY_DN10001_c0_g1	SMP_1	SMP_2	-0.23016522	4.239754394	0.741406758	1
TRINITY_DN10002_c0_g2	SMP_1	SMP_2	0.858275564	2.171827814	0.252159665	1
TRINITY_DN10003_c0_g2	SMP_1	SMP_2	-1.292916364	4.561433205	0.057176731	0.55615683
TRINITY_DN10004_c0_g1	SMP_1	SMP_2	0.264656966	0.359353736	0.814851278	1
TRINITY_DN10005_c1_g1	SMP_1	SMP_2	0.879105183	4.123622244	0.194743103	0.950332532
TRINITY_DN10006_c0_g1	SMP_1	SMP_2	-0.195736035	2.803082159	0.795639621	1
TRINITY_DN10007_c0_g1	SMP_1	SMP_2	0.313218419	2.450171261	0.672629772	1
TRINITY_DN10008_c0_g1	SMP_1	SMP_2	0.301014105	4.172856937	0.659223144	1
TRINITY_DN10009_c0_g1	SMP_1	SMP_2	1.195231295	3.42619217	0.085671475	0.687916498
TRINITY_DN10010_c0_g1	SMP_1	SMP_2	0.460860781	4.533758472	0.495272204	1
TRINITY_DN10011_c0_g1	SMP_1	SMP_2	-0.735082512	2.295667649	0.318877465	1
TRINITY_DN10012_c0_g1	SMP_1	SMP_2	-0.879081813	7.793598357	0.182702881	0.929660604
TRINITY_DN10012_c0_g2	SMP_1	SMP_2	-6.99602264	-0.56060087	0.001408973	0.035479266
TRINITY_DN10013_c0_g1	SMP_1	SMP_2	0.136434816	4.41464237	0.843039583	1
TRINITY_DN10014_c0_g1	SMP_1	SMP_2	-0.284687362	5.874043979	0.665532203	1
TRINITY_DN10015_c1_g1	SMP_1	SMP_2	0.150383	1.715511729	0.845104083	1
TRINITY_DN10015_c1_g3	SMP_1	SMP_2	0.771087336	1.562523018	0.350921908	1
TRINITY_DN10015_c1_g4	SMP_1	SMP_2	0.798493638	2.175126711	0.285105691	1
TRINITY_DN10015_c1_g5	SMP_1	SMP_2	0.272845562	1.864963398	0.75576334	1
TRINITY_DN10016_c0_g1	SMP_1	SMP_2	-0.351149106	2.749269739	0.623951277	1
TRINITY_DN10017_c0_g1	SMP_1	SMP_2	0.475817767	0.960454836	0.573358601	1
TRINITY_DN10018_c3_g1	SMP_1	SMP_2	-0.599799101	0.590704483	0.544246996	1
TRINITY_DN10018_c3_g2	SMP_1	SMP_2	1.119121265	0.290465255	0.270771224	1
TRINITY_DN10018_c3_g4	SMP_1	SMP_2	0.942447388	0.968839108	0.290499408	1
TRINITY_DN10018_c4_g1	SMP_1	SMP_2	0.768323539	0.644087372	0.37125267	1
TRINITY_DN10018_c4_g3	SMP_1	SMP_2	1.331605929	2.311286003	0.071042233	0.62321607
TRINITY_DN10018_c4_g6	SMP_1	SMP_2	-0.895070178	3.326679084	0.198833621	0.957468932
TRINITY_DN10019_c0_g1	SMP_1	SMP_2	-0.090100402	2.600363791	0.913523059	1
TRINITY_DN10020_c0_g2	SMP_1	SMP_2	0.7221261	3.922710335	0.288564282	1
TRINITY_DN10021_c0_g1	SMP_1	SMP_2	0.319241519	4.835873005	0.634295447	1
