	S3_RG	S3_SG	logFC	logCPM	PValue	FDR
TRINITY_DN7059_c0_g2	740.059	0.10800000000000001	12.5905324993486	8.79981443764359	2.65097596284431e-26	5.95674298851117e-22
TRINITY_DN7059_c0_g1	1268.262	0.637	10.689974262562	6.90213358129197	1.30679319468009e-20	1.46818215422308e-16
TRINITY_DN6936_c2_g1	232.299	0.14300000000000002	10.5309661564086	6.743582468685019	3.89613013172935e-20	2.91820146866529e-16
TRINITY_DN8566_c3_g2	112.26799999999999	0.0	13.314056248211601	6.3498209305434505	5.35673317406349e-20	3.00914486053016e-16
TRINITY_DN7894_c0_g1	79.082	0.0	13.2682571282372	6.3041705680857	7.344589923341839e-20	3.3006587115498196e-16
TRINITY_DN9205_c10_g1	125.801	0.0	12.6926441473848	5.7308877001163205	3.76569966701082e-18	1.41025452529555e-14
TRINITY_DN8745_c2_g1	58.73	0.0	12.6032431603352	5.64193859526775	6.86115766720891e-18	2.20243161117406e-14
TRINITY_DN8842_c2_g1	3.6710000000000003	682.087	-7.4971239461122	8.70394468589286	1.82344466532802e-17	5.12160020374008e-14
TRINITY_DN9754_c2_g1	3695.645	25.041	7.06731941224946	7.932474056117541	4.3318796616565703e-16	9.96465323754841e-13
TRINITY_DN16298_c0_g1	0.134	52.512	-8.520825641369589	5.642351809239429	4.43464763575808e-16	9.96465323754841e-13
TRINITY_DN8416_c0_g4	0.062	43.107	-9.13325347532051	5.33785357305054	5.980073682439259e-16	1.2215659604037302e-12
TRINITY_DN11021_c0_g1	105.038	0.0	11.8378707047784	4.88180848232386	1.23488125763895e-15	2.31231515492893e-12
TRINITY_DN7502_c6_g1	2.201	300.801	-7.05743471806279	7.105005873371621	1.47088336695046e-15	2.54236532733668e-12
TRINITY_DN15295_c0_g1	0.0	36.535	-11.783254709024598	4.82636679988567	1.78282795691298e-15	2.86143887084534e-12
TRINITY_DN6547_c2_g1	0.07200000000000001	39.521	-8.28376118731936	5.40715350815274	2.18279140819903e-15	3.26982152948215e-12
TRINITY_DN8633_c3_g1	1194.744	0.0	11.723732140829698	4.76871382805069	2.6102049497600798e-15	3.6657065763193104e-12
TRINITY_DN9737_c3_g1	0.165	51.042	-8.18817210975735	5.312407698598469	4.20657161374194e-15	5.56009789181067e-12
TRINITY_DN9317_c1_g1	130.387	0.5920000000000001	7.72868141166996	5.42669798603948	8.308881649013991e-15	1.03722539251858e-11
TRINITY_DN8315_c3_g1	0.38	58.196999999999996	-7.325655905067401	5.72168835774755	1.12873109971122e-14	1.33487304265847e-11
TRINITY_DN6787_c5_g1	853.91	0.0	11.4560244840668	4.50379733465466	1.57623831427943e-14	1.69393047628319e-11
TRINITY_DN6150_c4_g1	9.183	0.018000000000000002	8.629080472984919	4.8535956211124995	1.58311259465718e-14	1.69393047628319e-11
TRINITY_DN5962_c5_g1	117.965	0.0	11.443715624324401	4.49162941824784	1.71166122604763e-14	1.72347764543759e-11
TRINITY_DN8654_c4_g1	35.787	0.081	8.61296533422421	4.83766171930652	1.7641293210976698e-14	1.72347764543759e-11
TRINITY_DN8871_c5_g1	0.0	1378.832	-11.3836377608941	4.4305753854833	2.53793954158929e-14	2.34760443490699e-11
TRINITY_DN7803_c4_g1	0.0	22.092	-11.3792873676395	4.42627274603752	2.61193194804961e-14	2.34760443490699e-11
TRINITY_DN9163_c3_g1	0.72	102.505	-6.67366172149717	6.42895880702305	3.28610286447273e-14	2.8399512063347e-11
TRINITY_DN9550_c3_g1	61.312	0.0	11.305439585794	4.3550202541753	4.31331290647108e-14	3.58963485216316e-11
TRINITY_DN6267_c1_g2	0.0	74.49600000000001	-11.198496853062501	4.247599614576069	8.59009859801054e-14	6.89355412490346e-11
TRINITY_DN6059_c1_g2	351.837	0.0	11.167539512170901	4.21894546425927	1.08065112787354e-13	8.37318304942013e-11
TRINITY_DN9214_c1_g1	51.933	0.0	11.1219170066655	4.17396527896204	1.463228959963e-13	1.0959584910122898e-10
TRINITY_DN9110_c4_g1	85.705	0.0	11.090680248314099	4.14317985976224	1.7386006982505802e-13	1.2602050867642098e-10
TRINITY_DN8940_c3_g1	1.419	101.94	-6.11085752137926	7.5530707028657496	1.8798023898265502e-13	1.3199737406063302e-10
TRINITY_DN6642_c2_g1	20.259	0.0	11.069473562760699	4.1222850590079	2.0001099390007998e-13	1.36189304028327e-10
TRINITY_DN9141_c0_g1	25.781	0.0	11.0641228238856	4.11701372079861	2.07205633968428e-13	1.36938546919723e-10
TRINITY_DN6426_c0_g1	98.765	0.0	11.009494764865199	4.06321291375871	2.9712404310377394e-13	1.90753635672623e-10
TRINITY_DN8827_c0_g1	654.58	5.155	6.7766385657349	5.1962569357419195	4.0283666038764206e-13	2.51437215525287e-10
TRINITY_DN6555_c1_g2	21.164	0.0	10.844520342773098	3.9009298601568996	8.78764817700522e-13	5.33671498749479e-10
TRINITY_DN8194_c4_g1	319.207	2.636	6.773065262901371	4.88193657806438	1.15133808163374e-12	6.80804386692373e-10
TRINITY_DN129_c0_g1	9.924	0.0	10.7936993481089	3.85099997365601	1.22566128186551e-12	7.06169461628669e-10
TRINITY_DN7022_c2_g1	34.584	0.0	10.727547224334	3.78605430574642	1.8881164172612704e-12	1.06064939739652e-09
TRINITY_DN6092_c0_g2	44.641999999999996	0.0	10.713944857870999	3.77270672493545	2.0632584378669598e-12	1.13076627070416e-09
TRINITY_DN5937_c1_g7	0.0	24.405	-10.709359908437301	3.76571645034487	2.15747115192481e-12	1.1542470662797699e-09
TRINITY_DN7607_c1_g1	0.0	25.355	-10.6163079469074	3.6743443684269397	3.92866456252578e-12	2.0529556446501004e-09
TRINITY_DN6357_c0_g4	0.895	58.958999999999996	-5.97855571914279	5.630982022305719	4.21554607135293e-12	2.1528027323477303e-09
TRINITY_DN8732_c1_g2	0.0	7.191	-10.5636007050276	3.62263764589067	5.50998121053644e-12	2.7513172844611896e-09
TRINITY_DN8387_c4_g1	13.347999999999999	0.054000000000000006	7.7285379510803605	3.96693428438073	6.02099996675538e-12	2.94112759245638e-09
TRINITY_DN9401_c3_g1	35.52	0.0	10.500777164711302	3.5638507580269905	8.22929778361081e-12	3.93430470633479e-09
TRINITY_DN8030_c5_g1	30.378	0.9059999999999999	6.30649454631119	4.7348786887849	8.95295246692735e-12	4.191100873580361e-09
TRINITY_DN6553_c1_g1	143.129	0.601	7.6422434840442	3.8824673895775	1.0557631561761699e-11	4.79224045104518e-09
TRINITY_DN7024_c1_g1	0.0	3.73	-10.460293777451199	3.5214005089247595	1.0663641413095599e-11	4.79224045104518e-09
TRINITY_DN6830_c6_g1	1.615	118.35700000000001	-6.17639439076966	4.845631376538821	1.12245060109706e-11	4.945385295421741e-09
TRINITY_DN4358_c0_g1	0.051	6.0520000000000005	-6.6392628703944006	4.3372751644426	1.2507162459944198e-11	5.40453731682589e-09
TRINITY_DN6054_c4_g1	0.0	263.79	-10.4269591342058	3.4887658198158698	1.31852504189025e-11	5.590048620995071e-09
TRINITY_DN7340_c3_g2	4.34	210.982	-5.5760155317598	6.22593689502478	1.3891220117063899e-11	5.7802910376005e-09
TRINITY_DN7408_c3_g2	23.281999999999996	0.10800000000000001	7.57062315854486	3.81244629912579	1.6799462322489098e-11	6.86334397066053e-09
TRINITY_DN1674_c0_g1	15.487	0.0	10.3506438084154	3.41714481898319	2.1624533557567103e-11	8.67684408997379e-09
TRINITY_DN6488_c3_g3	0.0	23.221	-10.294609600597699	3.35935949523692	3.05020887179135e-11	1.20242444472196e-08
TRINITY_DN7344_c1_g2	27.396	0.40299999999999997	6.102814945492691	4.53595128734582	3.40476695097426e-11	1.3190536791102e-08
TRINITY_DN7321_c3_g3	32.342	0.583	5.7159768115046905	5.1325200132242195	3.54770299441834e-11	1.3511336658403399e-08
TRINITY_DN8479_c1_g2	31.776999999999997	0.0	10.259950089016199	3.3286940123141497	3.86235477424071e-11	1.44645186295315e-08
