#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN38506_c1_g2	.
TRINITY_DN38510_c2_g3	TPPH_ARATH^TPPH_ARATH^Q:367-176,H:222-285^79.688%ID^E:2.88e-29^RecName: Full=Probable trehalose-phosphate phosphatase H;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`TPPH_ARATH^TPPH_ARATH^Q:188-3,H:221-282^79.032%ID^E:3.08e-28^RecName: Full=Probable trehalose-phosphate phosphatase H;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN38510_c3_g4	TPPF_ARATH^TPPF_ARATH^Q:1213-134,H:1-351^76.177%ID^E:0^RecName: Full=Probable trehalose-phosphate phosphatase F;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN38565_c1_g3	RGA1_SOLBU^RGA1_SOLBU^Q:8-532,H:314-483^41.143%ID^E:3.59e-34^RecName: Full=Putative disease resistance protein RGA1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum
TRINITY_DN38594_c1_g1	.
TRINITY_DN38573_c3_g4	.
TRINITY_DN38573_c4_g1	.
TRINITY_DN38536_c2_g4	PHB2_YEAST^PHB2_YEAST^Q:583-284,H:203-300^72%ID^E:7.8e-24^RecName: Full=Prohibitin-2;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN38538_c1_g3	XERIC_ARATH^XERIC_ARATH^Q:161-619,H:1-146^29.825%ID^E:3.13e-19^RecName: Full=Probable E3 ubiquitin-protein ligase XERICO;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN38515_c0_g1	.
