#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN57478_c1_g1	.
TRINITY_DN57415_c0_g1	GLCM3_CAEEL^GLCM3_CAEEL^Q:102-1190,H:89-459^41.425%ID^E:2.85e-96^RecName: Full=Putative glucosylceramidase 3;^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis
TRINITY_DN57415_c0_g2	TOPRS_DROME^TOPRS_DROME^Q:1607-1419,H:102-163^53.125%ID^E:3.23e-08^RecName: Full=E3 ubiquitin-protein ligase Topors;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora
TRINITY_DN57454_c2_g1	YBIT_ECOLI^YBIT_ECOLI^Q:688-2,H:1-228^41.921%ID^E:2.35e-57^RecName: Full=Uncharacterized ABC transporter ATP-binding protein YbiT;^Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia`YBIT_ECOLI^YBIT_ECOLI^Q:694-11,H:317-508^30.568%ID^E:3.3e-24^RecName: Full=Uncharacterized ABC transporter ATP-binding protein YbiT;^Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
TRINITY_DN57454_c11_g2	MC6ZA_XENLA^MC6ZA_XENLA^Q:60-296,H:589-667^79.747%ID^E:1.79e-37^RecName: Full=Zygotic DNA replication licensing factor mcm6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus
TRINITY_DN57460_c5_g2	.
TRINITY_DN57412_c3_g16	DHSL_COXBU^DHSL_COXBU^Q:261-791,H:10-186^80.226%ID^E:1.87e-101^RecName: Full=Deoxyhypusine synthase-like protein;^Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae; Coxiella
TRINITY_DN57484_c5_g8	NDUS2_RAT^NDUS2_RAT^Q:143-1333,H:37-434^75.126%ID^E:0^RecName: Full=NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus
TRINITY_DN57498_c4_g1	.
TRINITY_DN57466_c1_g2	.
TRINITY_DN57485_c3_g1	.
TRINITY_DN57401_c5_g6	.
TRINITY_DN57480_c0_g9	RPOD_SALTY^RPOD_SALTY^Q:199-864,H:218-439^56.306%ID^E:1.86e-81^RecName: Full=RNA polymerase sigma factor RpoD {ECO:0000255|HAMAP-Rule:MF_00963};^Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
TRINITY_DN57433_c3_g1	.
TRINITY_DN57487_c1_g6	.
TRINITY_DN57405_c12_g1	.
TRINITY_DN57491_c0_g1	.
TRINITY_DN57491_c0_g2	.
TRINITY_DN57491_c0_g3	.
TRINITY_DN57491_c0_g4	.
TRINITY_DN57491_c0_g5	.
TRINITY_DN57414_c4_g4	.
TRINITY_DN57482_c7_g1	.
TRINITY_DN57477_c3_g2	.
TRINITY_DN57429_c4_g5	.
TRINITY_DN57429_c4_g8	.
TRINITY_DN57469_c5_g2	.
TRINITY_DN57430_c0_g1	.
TRINITY_DN57403_c3_g1	.
TRINITY_DN57411_c10_g4	.
TRINITY_DN57444_c5_g1	.
TRINITY_DN57428_c0_g1	AVP_HORVU^AVP_HORVU^Q:199-2,H:443-508^80.303%ID^E:5.16e-20^RecName: Full=Pyrophosphate-energized vacuolar membrane proton pump;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Hordeum
TRINITY_DN57459_c3_g2	VA5_POLDO^VA5_POLDO^Q:61-342,H:9-112^31.776%ID^E:1.01e-07^RecName: Full=Venom allergen 5;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Vespoidea; Vespidae; Polistinae; Polistini; Polistes
TRINITY_DN57457_c5_g2	.
TRINITY_DN57416_c3_g1	.
TRINITY_DN57437_c3_g3	.
TRINITY_DN56030_c5_g2	.
TRINITY_DN56056_c1_g1	RT17_BOVIN^RT17_BOVIN^Q:577-299,H:13-105^35.484%ID^E:5.93e-14^RecName: Full=28S ribosomal protein S17, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos
TRINITY_DN56095_c1_g1	.
TRINITY_DN56095_c3_g1	.
TRINITY_DN56026_c0_g2	.
TRINITY_DN56007_c0_g3	ATD3A_HUMAN^ATD3A_HUMAN^Q:342-151,H:494-573^31.25%ID^E:5.57e-10^RecName: Full=ATPase family AAA domain-containing protein 3A {ECO:0000312|HGNC:HGNC:25567};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`ATD3A_HUMAN^ATD3A_HUMAN^Q:161-21,H:571-617^40.426%ID^E:5.57e-10^RecName: Full=ATPase family AAA domain-containing protein 3A {ECO:0000312|HGNC:HGNC:25567};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
TRINITY_DN56070_c5_g4	.
TRINITY_DN56096_c5_g1	BMCP_DROME^BMCP_DROME^Q:587-315,H:220-302^61.538%ID^E:6.69e-27^RecName: Full=Mitochondrial uncoupling protein Bmcp {ECO:0000305};^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora
TRINITY_DN56081_c1_g1	.
TRINITY_DN56081_c1_g5	.
TRINITY_DN56088_c5_g5	.
TRINITY_DN56060_c0_g1	.
TRINITY_DN56025_c5_g4	ACT2_BACDO^ACT2_BACDO^Q:2-523,H:203-376^91.379%ID^E:7.35e-116^RecName: Full=Actin-2, muscle-specific;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Tephritoidea; Tephritidae; Bactrocera; Bactrocera
TRINITY_DN56025_c5_g6	.
TRINITY_DN56029_c5_g6	T38B1_CAEEL^T38B1_CAEEL^Q:29-514,H:130-293^48.78%ID^E:1.68e-52^RecName: Full=Trimeric intracellular cation channel type 1B.1 {ECO:0000305};^Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis
TRINITY_DN56008_c4_g3	.
TRINITY_DN56008_c4_g4	.
TRINITY_DN56008_c4_g5	.
TRINITY_DN56062_c0_g4	RF2_HAEDU^RF2_HAEDU^Q:1294-611,H:138-365^75.439%ID^E:1.18e-125^RecName: Full=Peptide chain release factor 2 {ECO:0000255|HAMAP-Rule:MF_00094};^Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus
TRINITY_DN56062_c0_g4	RF2_HAEDU^RF2_HAEDU^Q:1294-611,H:138-365^75.439%ID^E:1.18e-125^RecName: Full=Peptide chain release factor 2 {ECO:0000255|HAMAP-Rule:MF_00094};^Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus
TRINITY_DN56061_c2_g1	.
TRINITY_DN56061_c3_g1	.
TRINITY_DN56061_c4_g2	.
TRINITY_DN56061_c4_g5	.
TRINITY_DN56051_c5_g6	SP21_STIAD^SP21_STIAD^Q:128-568,H:23-165^34.014%ID^E:8.4e-19^RecName: Full=Spore protein SP21;^Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Archangiaceae; Stigmatella
TRINITY_DN56044_c5_g7	.
TRINITY_DN56075_c3_g1	.
TRINITY_DN56006_c1_g1	.
TRINITY_DN56006_c4_g1	.
TRINITY_DN56006_c4_g2	.
TRINITY_DN56073_c0_g2	.
TRINITY_DN56020_c1_g2	.
TRINITY_DN56020_c2_g2	.
TRINITY_DN56019_c12_g1	.
TRINITY_DN56028_c3_g2	.
TRINITY_DN56028_c3_g2	.
TRINITY_DN56028_c3_g3	RBM10_RAT^RBM10_RAT^Q:443-883,H:124-306^25.789%ID^E:3.43e-13^RecName: Full=RNA-binding protein 10;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus
