#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN38557_c0_g1	NDB1_SOLTU^NDB1_SOLTU^Q:45-563,H:318-487^33.52%ID^E:5.41e-21^RecName: Full=External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum
TRINITY_DN4646_c0_g1	.
TRINITY_DN4667_c0_g1	VPS13_YEAST^VPS13_YEAST^Q:23-727,H:1443-1664^30.453%ID^E:5.84e-27^RecName: Full=Vacuolar protein sorting-associated protein 13;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN4658_c0_g1	MIRB_EMENI^MIRB_EMENI^Q:541-2,H:10-198^37.566%ID^E:5.94e-32^RecName: Full=Siderophore iron transporter mirB;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN4696_c0_g1	.
TRINITY_DN4678_c0_g1	MTR_NEUCR^MTR_NEUCR^Q:1-1059,H:42-395^30.899%ID^E:1.26e-37^RecName: Full=N amino acid transport system protein;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Sordariaceae; Neurospora
TRINITY_DN28733_c0_g1	FLBA_EMENI^FLBA_EMENI^Q:13-693,H:274-507^58.547%ID^E:5.67e-74^RecName: Full=Developmental regulator flbA;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN28709_c0_g1	TMC1_YEAST^TMC1_YEAST^Q:431-610,H:90-149^41.667%ID^E:2.22e-09^RecName: Full=AN1-type zinc finger protein TMC1 {ECO:0000305};^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN56006_c0_g1	HSL1_ARATH^HSL1_ARATH^Q:2-262,H:906-996^70.33%ID^E:1.17e-38^RecName: Full=Receptor-like protein kinase HSL1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN58646_c0_g1	.
