#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN28706_c3_g3	BGL11_ORYSJ^BGL11_ORYSJ^Q:3-200,H:459-524^59.091%ID^E:2.57e-18^RecName: Full=Beta-glucosidase 11;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN28785_c5_g1	.
TRINITY_DN28785_c5_g2	.
TRINITY_DN28785_c5_g3	RLP35_ARATH^RLP35_ARATH^Q:5-442,H:141-286^44.521%ID^E:1.22e-23^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:5-442,H:165-310^43.836%ID^E:1.43e-21^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:26-445,H:124-263^47.143%ID^E:3.75e-21^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:5-439,H:189-357^38.462%ID^E:2.47e-18^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:95-445,H:123-239^46.154%ID^E:2.51e-16^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:227-445,H:119-191^39.726%ID^E:6.1e-09^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:116-370,H:759-843^44.706%ID^E:6.78e-09^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:5-442,H:507-657^34.395%ID^E:9.43e-07^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:215-442,H:768-843^39.474%ID^E:2.71e-06^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RLP35_ARATH^RLP35_ARATH^Q:2-442,H:655-819^30.952%ID^E:6.47e-06^RecName: Full=Receptor-like protein 35 {ECO:0000303|PubMed:18434605};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28785_c5_g4	Y3471_ARATH^Y3471_ARATH^Q:1-294,H:862-959^59.184%ID^E:8.92e-32^RecName: Full=Putative receptor-like protein kinase At3g47110;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28733_c2_g1	.
TRINITY_DN28748_c3_g6	SPX1_ORYSJ^SPX1_ORYSJ^Q:155-3,H:146-196^88.235%ID^E:1.84e-21^RecName: Full=SPX domain-containing protein 1 {ECO:0000303|PubMed:19566645};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN28797_c1_g2	METK1_CATRO^METK1_CATRO^Q:735-1904,H:1-390^95.641%ID^E:0^RecName: Full=S-adenosylmethionine synthase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Catharanthinae; Catharanthus
TRINITY_DN28797_c2_g1	.
TRINITY_DN28797_c2_g4	.
TRINITY_DN28763_c0_g1	PAPS3_ARATH^PAPS3_ARATH^Q:1407-700,H:255-492^51.037%ID^E:2.98e-75^RecName: Full=Nuclear poly(A) polymerase 3 {ECO:0000303|PubMed:18479511};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28751_c2_g1	.
TRINITY_DN28751_c2_g4	.
TRINITY_DN28751_c3_g1	.
TRINITY_DN28751_c3_g2	.
TRINITY_DN28792_c1_g2	.
TRINITY_DN28705_c3_g1	.
TRINITY_DN28702_c2_g2	.
TRINITY_DN28702_c2_g3	BEBT_TOBAC^BEBT_TOBAC^Q:896-252,H:233-445^78.605%ID^E:8.44e-99^RecName: Full=Benzyl alcohol O-benzoyltransferase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana
TRINITY_DN28702_c2_g4	.
TRINITY_DN28782_c2_g14	.
