#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN38551_c0_g1	.
TRINITY_DN4652_c0_g1	.
TRINITY_DN4639_c0_g1	.
TRINITY_DN4618_c0_g1	.
TRINITY_DN4676_c0_g1	AB7G_ARATH^AB7G_ARATH^Q:1101-76,H:209-528^30.836%ID^E:8.16e-46^RecName: Full=ABC transporter G family member 7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN4636_c0_g1	EPFL6_ARATH^EPFL6_ARATH^Q:15-338,H:54-156^49.074%ID^E:2.21e-15^RecName: Full=EPIDERMAL PATTERNING FACTOR-like protein 6 {ECO:0000303|PubMed:19435754};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN28792_c0_g1	.
TRINITY_DN28761_c0_g1	.
TRINITY_DN57415_c0_g1	CAF5_SCHPO^CAF5_SCHPO^Q:646-2,H:119-333^51.628%ID^E:5.17e-64^RecName: Full=Caffeine resistance protein 5;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN56068_c0_g1	MDN1_YEAST^MDN1_YEAST^Q:6-248,H:2199-2278^58.025%ID^E:1.01e-20^RecName: Full=Midasin;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces`MDN1_YEAST^MDN1_YEAST^Q:3-212,H:1801-1863^45.714%ID^E:1e-07^RecName: Full=Midasin;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces`MDN1_YEAST^MDN1_YEAST^Q:3-242,H:1478-1557^42.857%ID^E:1.02e-07^RecName: Full=Midasin;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces
TRINITY_DN56013_c0_g1	SPB1_USTMA^SPB1_USTMA^Q:344-3,H:74-187^86.842%ID^E:1.04e-64^RecName: Full=AdoMet-dependent rRNA methyltransferase SPB1 {ECO:0000255|HAMAP-Rule:MF_03163};^Eukaryota; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Ustilaginomycetes; Ustilaginales; Ustilaginaceae; Ustilago
TRINITY_DN56038_c0_g1	CID14_SCHPO^CID14_SCHPO^Q:320-33,H:209-306^35%ID^E:2.54e-16^RecName: Full=Poly(A) RNA polymerase cid14;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN56048_c0_g1	METL6_RAT^METL6_RAT^Q:204-353,H:21-70^50%ID^E:6.52e-09^RecName: Full=Methyltransferase-like protein 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus
TRINITY_DN56065_c0_g1	.
TRINITY_DN56077_c0_g1	.
TRINITY_DN24102_c2_g1	.
TRINITY_DN24102_c4_g2	.
TRINITY_DN24130_c4_g3	TBA1B_PANTR^TBA1B_PANTR^Q:78-665,H:1-196^95.408%ID^E:1.43e-128^RecName: Full=Tubulin alpha-1B chain;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pan
TRINITY_DN24130_c5_g4	TBA1_ANEPH^TBA1_ANEPH^Q:3-764,H:33-286^98.819%ID^E:8.88e-171^RecName: Full=Tubulin alpha-1 chain;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Schizaeales; Anemiaceae; Anemia
TRINITY_DN24171_c0_g1	CID1_SCHPO^CID1_SCHPO^Q:1762-1643,H:326-365^67.5%ID^E:4.35e-08^RecName: Full=Terminal uridylyltransferase cid1 {ECO:0000305};^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN24195_c0_g1	.
TRINITY_DN24195_c0_g2	CFT2_SCHPO^CFT2_SCHPO^Q:1653-157,H:18-425^30.556%ID^E:5.98e-53^RecName: Full=Cleavage factor two protein 2;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN24195_c0_g3	PRIB_LENED^PRIB_LENED^Q:1447-743,H:227-455^30.556%ID^E:1.4e-18^RecName: Full=Protein priB;^Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Omphalotaceae; Lentinula
TRINITY_DN24195_c0_g4	PER47_ARATH^PER47_ARATH^Q:142-1104,H:4-325^72.05%ID^E:9.89e-156^RecName: Full=Peroxidase 47;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24195_c0_g6	CFT2_SCHPO^CFT2_SCHPO^Q:1138-26,H:465-791^27.467%ID^E:7.83e-27^RecName: Full=Cleavage factor two protein 2;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN24195_c1_g1	.
TRINITY_DN24195_c1_g2	.
TRINITY_DN24131_c17_g1	.
TRINITY_DN24131_c18_g2	.
TRINITY_DN24166_c0_g1	BGAL_THETH^BGAL_THETH^Q:159-1796,H:2-521^44.526%ID^E:1.17e-148^RecName: Full=Beta-galactosidase;^Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus
TRINITY_DN24166_c0_g1	BGAL_THETH^BGAL_THETH^Q:159-1796,H:2-521^44.526%ID^E:1.17e-148^RecName: Full=Beta-galactosidase;^Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus
TRINITY_DN24112_c0_g1	.
TRINITY_DN24112_c0_g4	.
TRINITY_DN24126_c0_g3	.
TRINITY_DN24126_c0_g4	RL17_RAT^RL17_RAT^Q:62-547,H:1-161^61.111%ID^E:1.7e-57^RecName: Full=60S ribosomal protein L17;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus
TRINITY_DN24122_c1_g1	.
TRINITY_DN24122_c1_g2	.
TRINITY_DN24122_c1_g4	CDKE1_ORYSJ^CDKE1_ORYSJ^Q:308-922,H:12-226^85.581%ID^E:7.75e-119^RecName: Full=Cyclin-dependent kinase E-1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN24122_c1_g8	.
TRINITY_DN24122_c1_g9	SFP1_SCHPO^SFP1_SCHPO^Q:756-920,H:75-129^47.273%ID^E:2.96e-11^RecName: Full=Zinc finger protein sfp1;^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces
TRINITY_DN24143_c0_g1	.
TRINITY_DN24139_c0_g8	UB2J1_HUMAN^UB2J1_HUMAN^Q:1275-793,H:3-161^54.658%ID^E:3.69e-61^RecName: Full=Ubiquitin-conjugating enzyme E2 J1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
TRINITY_DN24119_c0_g1	BTGC_ASPTN^BTGC_ASPTN^Q:469-891,H:246-407^32.716%ID^E:6.76e-13^RecName: Full=Probable glucan endo-1,3-beta-glucosidase btgC;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
TRINITY_DN24119_c0_g5	BTGC_ASPNC^BTGC_ASPNC^Q:854-276,H:481-678^40.865%ID^E:2.55e-36^RecName: Full=Putative glucan endo-1,3-beta-glucosidase btgC;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus`BTGC_ASPNC^BTGC_ASPNC^Q:871-1053,H:373-436^43.75%ID^E:2.8e-08^RecName: Full=Putative glucan endo-1,3-beta-glucosidase btgC;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus
