	BLASTX_swissprot
TRINITY_DN7059_c0_g2	"RD22_ARATH^RD22_ARATH^Q:965-288,H:161-390^49.785%ID^E:1.54e-67^RecName: Full=BURP domain protein RD22 {ECO:0000303|PubMed:9790599};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7059_c0_g1	.
TRINITY_DN6936_c2_g1	.
TRINITY_DN8566_c3_g2	.
TRINITY_DN7894_c0_g1	"NATT3_THANI^NATT3_THANI^Q:911-1435,H:181-354^26.857%ID^E:2.01e-10^RecName: Full=Natterin-3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Batrachoidaria; Batrachoididae; Thalassophryne"
TRINITY_DN9205_c10_g1	.
TRINITY_DN8745_c2_g1	"GDL83_ARATH^GDL83_ARATH^Q:1338-250,H:1-370^54.054%ID^E:1.03e-139^RecName: Full=GDSL esterase/lipase At5g45910;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8842_c2_g1	"GSTFC_ARATH^GSTFC_ARATH^Q:136-768,H:1-211^57.82%ID^E:1.39e-83^RecName: Full=Glutathione S-transferase F12;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9754_c2_g1	.
TRINITY_DN16298_c0_g1	"VINSY_RAUSE^VINSY_RAUSE^Q:1562-225,H:4-407^30.835%ID^E:1.48e-61^RecName: Full=Vinorine synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Rauvolfiinae; Rauvolfia"
TRINITY_DN8416_c0_g4	"AMI4G_ARATH^AMI4G_ARATH^Q:1602-280,H:86-510^61.224%ID^E:3.25e-172^RecName: Full=Probable amidase At4g34880 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN11021_c0_g1	.
TRINITY_DN7502_c6_g1	.
TRINITY_DN15295_c0_g1	.
TRINITY_DN6547_c2_g1	"KPRO_MAIZE^KPRO_MAIZE^Q:58-408,H:701-813^42.735%ID^E:1.62e-19^RecName: Full=Putative receptor protein kinase ZmPK1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Tripsacinae; Zea"
TRINITY_DN8633_c3_g1	"ANRCS_VITVI^ANRCS_VITVI^Q:231-1,H:37-113^85.714%ID^E:7.65e-42^RecName: Full=Anthocyanidin reductase ((2S)-flavan-3-ol-forming) {ECO:0000303|Ref.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; Vitales; Vitaceae; Vitis"
TRINITY_DN9737_c3_g1	.
TRINITY_DN9317_c1_g1	"TCS1_CAMSI^TCS1_CAMSI^Q:688-521,H:199-254^89.286%ID^E:3.33e-27^RecName: Full=Caffeine synthase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Theaceae; Camellia"
